austlang_code,iso639_3,glottocode
,,bidy1243
,,mari1445
,,pama1250
,,thur1253
,,tjup1235
,,yadh1237
,awk,awab1243
,awk,awab1243
,axe,ayer1246
,ayd,
,dhg,
,dhx,
,gbu,gaga1251
,gjm,warr1257
,gup,gunw1252
,gwm,awng1245
,ilg,gari1253
,kld,gami1243
,urc,urni1239
,wdj,wadj1254
,wie,wike1239
,wkw,waka1274
,wrb,warl1256
,xnk,
,xnu,
,xwd,wadi1260
,zmg,mart1254
,zmt,mari1419
A1,nys,nyun1247
A2,kba,kala1379
A3,nju,ngad1258
A4,lkm,kala1401
A9,xrg,mirn1243
A14,bia,badi1246
A17,ntj,ngaa1240
A38,ntj,ngaa1240
A39,wbv,waja1257
A48,ywg,pany1241
A50,xny,nija1241
A51,mpj,kart1247
A53,pnw,pany1241
A54,,pudi1238
A55,nad,nija1241
A58,nly,nyam1271
A61,nna,nyan1301
A61,nna,nyan1301
A62,wbt,wanm1242
A64,gbd,kara1476
A65,mem,mang1383
A66,wmt,walm1241
A67,mpj,
A69,rxd,ngar1288
A87,mpj,wang1288
A51.1,mpj,mart1256
C1,wiw,wira1265
C3,ktd,koka1244
C4,kdd,yank1248
C5,ant,anta1253
C6,pjt,pitj1243
C6,pjt,pitj1243
C7,kux,kuka1246
C8,are,west2441
C10,piu,pint1250
C10,piu,pint1250
C12,adg,ante1238
C13,gbb,kayt1238
C14,aly,alya1239
C16,wga,waga1260
C17,wrl,warl1255
C18,wrm,waru1265
C19,wmb,wamb1258
C20,gue,guri1247
C22,jig,djin1251
C25,mwd,mudb1240
C26,nji,guda1242
C29,axl,lowe1436
C32,nbj,ngar1235
C33,xrq,
C41,wbp,warl1254
C8.1,aer,east2379
C8.1,amx,anma1239
D1,xww,west2443
D2,xyy,yort1237
D3,xul,nort2760
D7,xth,yara1253
D8,dmd,west2443
D9,rnr,nari1241
D10,wrh,wira1262
D12,drl,darl1243
D18,wyb,ngiy1239
D22,wyb,ngiy1239
D23,kld,gami1243
D24,nyx,ngan1296
D25,drl,darl1243
D27,kld,yuwa1242
D30,gll,kala1380
D31,jbi,badj1244
D32,zmu,muru1266
D33,gwu,guwa1243
D37,kgl,kung1258
D42,zmc,marg1253
D43,gyy,guny1241
D54,kld,yuwa1243
D6.1,,nort2756
E2,kda,wori1245
E3,xbj,sydn1236
E6,dyn,dyan1250
E7,kgs,kumb1268
E10,yyg,yayg1236
E11,yub,yuga1244
E12,bdy,band1339
E14,gih,gida1240
E18,xjb,band1339
E19,jan,jand1248
E20,wkw,duun1241
E23,yxg,yaga1256
E26,,guwa1244
E29,gbw,gabi1248
E30,xby,east2717
E32,gnr,gure1255
E35,bym,bidy1243
E35,gyf,gung1248
E37,bym,bidy1243
E40,gnl,gang1268
E53,,east2716
E56,bzr,biri1256
E60,wrg,gudj1237
E61,xbd,bind1237
E62,ljx,yuru1264
E67,kda,wori1245
E84,xgm,dhar1248
E86,yxg,yaga1262
G8,ylr,yala1262
G9,yda,yand1251
G10,wrb,warl1256
G13,ktg,kalk1246
G14,yij,yind1247
G14,yil,yind1248
G16,xyt,mayk1239
G17,nxn,ngaw1240
G20,mnt,mayk1239
G21,mvl,mbar1254
G23,wny,wany1247
G24,xmy,maya1280
G25,mnt,mayk1239
G26,xxm,mink1237
G28,ggd,guga1239
G29,gko,kokn1236
G31,xut,kuth1240
G33,gdj,gurd1238
G33,gdj,kung1262
G35,gyd,kaya1319
G36,nlg,wala1263
G38,lbz,lard1243
G9.1,xgw,guwa1242
G12.1,,bula1255
G16.1,wnn,
K2,ywr,juku1259
K3,nyh,nyig1240
K4,wyb,ngum1253
K5,bck,buna1275
K6,gni,goon1238
K8,dyb,dyab1238
K9,nmp,nima1245
K10,wwr,warr1258
K12,ddj,jaru1254
K13,nyv,nyul1247
K14,xgu,ungg1243
K15,bcj,bard1255
K16,djw,jawi1238
K17,unp,woro1255
K20,gia,kitj1240
K21,gue,wany1244
K22,wub,wila1240
K23,ajn,anda1282
K29,mep,miri1266
K30,gue,maln1239
K35,ung,ngar1284
K36,gww,kwin1241
K39,gma,gamb1251
K43,ung,ngar1284
K48,ywr,yawu1244
K49,xud,umii1236
K53,jbw,yawi1239
K55,xun,ungg1244
K37.1,gdh,gadj1243
L1,nnr,naru1238
L2,nwo,nauo1235
L3,zku,kaur1267
L4,nnv,nugu1241
L5,jui,ngad1257
L6,bjb,bang1339
L7,yxl,yarl1236
L8,yga,yarl1236
L9,gvy,guya1249
L10,adt,adny1235
L11,bxi,pirl1238
L12,wdk,yarl1236
L13,ard,arab1267
L17,dif,dira1238
L18,ynd,yand1253
L22,nmv,ngam1265
L23,yww,yawa1258
L25,xwk,wong1246
L26,xpt,punt1240
L28,nmv,ngam1265
L31,yry,dier1240
L32,pit,pitt1246
L34,,mith1236
L35,rxw,karr1236
L36,xpa,pirr1240
L38,lku,kuun1236
L39,wdy,
L41,ygi,sout2765
L42,ljw,yira1239
L44,xyb,yand1261
L46,hrp,yand1252
N3,mwf,murr1258
N7,mfr,mari1424
N12,zml,madn1237
N14,ggk,kung1259
N15,zmr,
